data,imab5
08-01-2007,1.335674270
09-01-2007,1.335397963
10-01-2007,1.336559010
11-01-2007,1.337617698
12-01-2007,1.337548369
15-01-2007,1.337171676
16-01-2007,1.338402519
17-01-2007,1.340196589
18-01-2007,1.342950549
19-01-2007,1.343905982
22-01-2007,1.345090978
23-01-2007,1.345047180
24-01-2007,1.346825564
25-01-2007,1.347630901
26-01-2007,1.347118461
29-01-2007,1.348242118
30-01-2007,1.349189475
31-01-2007,1.350458240
01-02-2007,1.351232910
02-02-2007,1.351196142
05-02-2007,1.352759224
06-02-2007,1.353776615
07-02-2007,1.354392198
08-02-2007,1.354822808
09-02-2007,1.355557639
12-02-2007,1.357049032
13-02-2007,1.358288385
14-02-2007,1.360431001
15-02-2007,1.362272354
16-02-2007,1.363052138
21-02-2007,1.365070988
22-02-2007,1.366623648
23-02-2007,1.366321317
26-02-2007,1.368079634
27-02-2007,1.364456675
28-02-2007,1.364940174
01-03-2007,1.363540543
02-03-2007,1.362640321
05-03-2007,1.362235752
06-03-2007,1.366769210
07-03-2007,1.367851487
08-03-2007,1.368336951
09-03-2007,1.369797121
12-03-2007,1.371277185
13-03-2007,1.370068960
14-03-2007,1.371628250
15-03-2007,1.372439682
16-03-2007,1.372952132
19-03-2007,1.374166320
20-03-2007,1.374742323
21-03-2007,1.378214547
22-03-2007,1.379043549
23-03-2007,1.379628561
26-03-2007,1.380708814
27-03-2007,1.381242051
28-03-2007,1.381437755
29-03-2007,1.382513995
30-03-2007,1.383934493
02-04-2007,1.384873601
03-04-2007,1.386769778
04-04-2007,1.388462842
05-04-2007,1.390212253
09-04-2007,1.391934591
10-04-2007,1.393919527
11-04-2007,1.393914161
12-04-2007,1.394044381
13-04-2007,1.396073112
16-04-2007,1.397560642
17-04-2007,1.399106475
18-04-2007,1.401243209
19-04-2007,1.411711860
20-04-2007,1.414796348
23-04-2007,1.415277946
24-04-2007,1.414553141
25-04-2007,1.416199092
26-04-2007,1.415454573
27-04-2007,1.415594406
30-04-2007,1.416610324
02-05-2007,1.419235651
03-05-2007,1.420645323
04-05-2007,1.422302510
07-05-2007,1.422607030
08-05-2007,1.423111547
09-05-2007,1.424739992
10-05-2007,1.424323174
11-05-2007,1.425589672
14-05-2007,1.426436988
15-05-2007,1.428979817
16-05-2007,1.433474857
17-05-2007,1.436111810
18-05-2007,1.435379971
21-05-2007,1.437024889
22-05-2007,1.437367317
23-05-2007,1.435440795
24-05-2007,1.431189620
25-05-2007,1.434974149
28-05-2007,1.436307044
29-05-2007,1.434784873
30-05-2007,1.434958573
31-05-2007,1.436950198
01-06-2007,1.439675223
04-06-2007,1.437129947
05-06-2007,1.436757154
06-06-2007,1.436783382
08-06-2007,1.440541168
11-06-2007,1.442561984
12-06-2007,1.441846473
13-06-2007,1.443496555
14-06-2007,1.446889387
15-06-2007,1.449589041
18-06-2007,1.450227164
19-06-2007,1.452554369
20-06-2007,1.453124174
21-06-2007,1.453785585
22-06-2007,1.452088138
25-06-2007,1.446267700
26-06-2007,1.448000074
27-06-2007,1.450657379
28-06-2007,1.452104547
29-06-2007,1.453421328
02-07-2007,1.454783952
03-07-2007,1.455565406
04-07-2007,1.454474890
05-07-2007,1.454554824
06-07-2007,1.456506606
09-07-2007,1.457072421
10-07-2007,1.456456928
11-07-2007,1.458325709
12-07-2007,1.460417480
13-07-2007,1.461205464
16-07-2007,1.460641439
17-07-2007,1.462078373
18-07-2007,1.462427180
19-07-2007,1.460580597
20-07-2007,1.460604460
23-07-2007,1.460963805
24-07-2007,1.459153209
25-07-2007,1.459314453
26-07-2007,1.453634468
27-07-2007,1.456487461
30-07-2007,1.457221126
31-07-2007,1.456720495
01-08-2007,1.454098387
02-08-2007,1.455853162
03-08-2007,1.453259359
06-08-2007,1.453226252
07-08-2007,1.456161263
08-08-2007,1.458999073
09-08-2007,1.455221276
10-08-2007,1.455774786
13-08-2007,1.457422843
14-08-2007,1.455477827
15-08-2007,1.448711442
16-08-2007,1.429507464
17-08-2007,1.441734927
20-08-2007,1.439861716
21-08-2007,1.439462388
22-08-2007,1.444934364
23-08-2007,1.453950221
24-08-2007,1.459182942
27-08-2007,1.459623626
28-08-2007,1.455657198
29-08-2007,1.461748777
30-08-2007,1.462123276
31-08-2007,1.465239610
03-09-2007,1.468095680
04-09-2007,1.469639188
05-09-2007,1.466658023
06-09-2007,1.469085507
10-09-2007,1.466997563
11-09-2007,1.468471236
12-09-2007,1.470200483
13-09-2007,1.470016565
14-09-2007,1.472807313
17-09-2007,1.472033565
18-09-2007,1.477870918
19-09-2007,1.480715726
20-09-2007,1.481448412
21-09-2007,1.483141949
24-09-2007,1.481222996
25-09-2007,1.483274224
26-09-2007,1.483310476
27-09-2007,1.483599413
28-09-2007,1.485016661
01-10-2007,1.487414197
02-10-2007,1.487608636
03-10-2007,1.487338828
04-10-2007,1.487192416
05-10-2007,1.488945828
08-10-2007,1.489566064
09-10-2007,1.492056781
10-10-2007,1.490917141
11-10-2007,1.491021309
15-10-2007,1.492326822
16-10-2007,1.491193727
17-10-2007,1.491015096
18-10-2007,1.489403485
19-10-2007,1.486927541
22-10-2007,1.479395082
23-10-2007,1.484344620
24-10-2007,1.481717043
25-10-2007,1.481364630
26-10-2007,1.483520407
29-10-2007,1.486114779
30-10-2007,1.486532106
31-10-2007,1.486632642
01-11-2007,1.485478486
05-11-2007,1.483933626
06-11-2007,1.486568549
07-11-2007,1.484941781
08-11-2007,1.482035094
09-11-2007,1.485475556
12-11-2007,1.483268469
13-11-2007,1.483913401
14-11-2007,1.489077385
16-11-2007,1.489648525
19-11-2007,1.489862977
20-11-2007,1.490483936
21-11-2007,1.491223435
22-11-2007,1.492409754
23-11-2007,1.493318918
26-11-2007,1.493953803
27-11-2007,1.494222925
28-11-2007,1.495726225
29-11-2007,1.495064082
30-11-2007,1.497445315
03-12-2007,1.497955658
04-12-2007,1.496770809
05-12-2007,1.495512629
06-12-2007,1.498359830
07-12-2007,1.500438544
10-12-2007,1.500040385
11-12-2007,1.502430603
12-12-2007,1.502379793
13-12-2007,1.497989195
14-12-2007,1.500441619
17-12-2007,1.501360308
18-12-2007,1.504032792
19-12-2007,1.505842800
20-12-2007,1.504302770
21-12-2007,1.505176612
24-12-2007,1.506188328
26-12-2007,1.505965751
27-12-2007,1.503055986
28-12-2007,1.505424774
31-12-2007,1.506441575
02-01-2008,1.510997289
03-01-2008,1.515643741
04-01-2008,1.515278480
07-01-2008,1.516949770
08-01-2008,1.518811930
09-01-2008,1.519491691
10-01-2008,1.519142840
11-01-2008,1.520985003
14-01-2008,1.521470432
15-01-2008,1.522703553
16-01-2008,1.522508020
17-01-2008,1.522503729
18-01-2008,1.524297079
21-01-2008,1.521390680
22-01-2008,1.523967633
23-01-2008,1.522945651
24-01-2008,1.526688198
25-01-2008,1.527554282
28-01-2008,1.529555857
29-01-2008,1.529323048
30-01-2008,1.527526350
31-01-2008,1.526996017
01-02-2008,1.527123394
06-02-2008,1.527461926
07-02-2008,1.528932317
08-02-2008,1.529999323
11-02-2008,1.532032642
12-02-2008,1.534135532
13-02-2008,1.535391404
14-02-2008,1.535410345
15-02-2008,1.534682549
18-02-2008,1.538365204
19-02-2008,1.538004509
20-02-2008,1.540109960
21-02-2008,1.544408601
22-02-2008,1.545850506
25-02-2008,1.545447757
26-02-2008,1.548575787
27-02-2008,1.548753835
28-02-2008,1.549525502
29-02-2008,1.549231384
03-03-2008,1.551101048
04-03-2008,1.550821810
05-03-2008,1.552615712
06-03-2008,1.548898728
07-03-2008,1.544603293
10-03-2008,1.541599462
11-03-2008,1.546177158
12-03-2008,1.544774471
13-03-2008,1.538466307
14-03-2008,1.536030558
17-03-2008,1.534879106
18-03-2008,1.538503075
19-03-2008,1.535787456
20-03-2008,1.535187275
