data,valor
2018-11-21,2279.6399
2018-11-19,2283.0200
2018-11-16,2277.6299
2018-11-14,2272.1599
2018-11-13,2259.9099
2018-11-12,2262.1001
2018-11-09,2260.2700
2018-11-08,2253.8501
2018-11-07,2253.2800
2018-11-06,2249.3201
2018-11-05,2251.5601
2018-11-01,2250.6201
2018-10-31,2242.4399
2018-10-30,2233.9900
2018-10-29,2223.3701
2018-10-26,2220.2400
2018-10-25,2213.8501
2018-10-24,2207.3301
2018-10-23,2206.5701
2018-10-22,2200.8799
2018-10-19,2192.1899
2018-10-18,2188.4199
2018-10-17,2189.1299
2018-10-16,2187.1201
2018-10-15,2188.2500
2018-10-11,2176.0701
2018-10-10,2174.2000
2018-10-09,2172.4900
2018-10-08,2159.5000
2018-10-05,2153.1001
2018-10-04,2141.8899
2018-10-03,2145.8201
2018-10-02,2133.4500
2018-10-01,2128.3799
2018-09-28,2134.8000
2018-09-27,2128.8201
2018-09-26,2129.0300
2018-09-25,2135.0100
2018-09-24,2141.5400
2018-09-21,2141.7900
2018-09-20,2142.5000
2018-09-19,2141.6001
2018-09-18,2137.1599
2018-09-17,2134.0701
2018-09-14,2132.5100
2018-09-13,2137.9700
2018-09-12,2134.3899
2018-09-11,2126.8701
2018-09-10,2131.9299
2018-09-06,2135.7500
2018-09-05,2135.8301
2018-09-04,2135.2400
2018-09-03,2135.4700
2018-08-31,2139.3899
2018-08-30,2136.1799
2018-08-29,2134.6899
2018-08-28,2136.3999
2018-08-27,2134.7600
2018-08-24,2131.1799
2018-08-23,2131.2700
2018-08-22,2142.2500
2018-08-21,2144.5500
2018-08-20,2142.4199
2018-08-17,2149.2000
2018-08-16,2152.3799
2018-08-15,2140.8601
2018-08-14,2145.1001
2018-08-13,2139.3999
2018-08-10,2143.8101
2018-08-09,2152.5801
2018-08-08,2152.5801
2018-08-07,2152.1599
2018-08-06,2154.6101
2018-08-03,2154.2100
2018-08-02,2150.5701
2018-08-01,2148.8601
2018-07-31,2154.4399
2018-07-30,2145.7000
2018-07-27,2144.9299
2018-07-26,2146.8799
2018-07-25,2152.6899
2018-07-24,2151.1399
2018-07-23,2153.3899
2018-07-20,2155.2300
2018-07-19,2150.2800
2018-07-18,2147.9600
2018-07-17,2147.8101
2018-07-16,2139.5701
2018-07-13,2146.8301
2018-07-12,2143.8799
2018-07-11,2155.6201
2018-07-10,2148.7300
2018-07-06,2153.8000
2018-07-05,2149.0300
2018-07-04,2139.6499
2018-07-03,2144.4099
2018-07-02,2132.7800
2018-06-29,2125.2200
2018-06-28,2110.9099
2018-06-27,2109.2700
2018-06-26,2101.8201
2018-06-25,2093.8301
2018-06-22,2094.4990
2018-06-21,2091.3601
2018-06-20,2089.3000
2018-06-19,2085.2390
2018-06-18,2090.1721
2018-06-15,2106.2109
2018-06-14,2118.4990
2018-06-13,2127.6021
2018-06-12,2136.0400
2018-06-11,2139.1001
2018-06-08,2142.9861
2018-06-07,2161.6479
2018-06-06,2195.0471
2018-06-05,2209.8870
2018-06-04,2211.5559
2018-06-01,2211.6709
2018-05-30,2214.1050
2018-05-29,2203.5879
2018-05-28,2184.6860
2018-05-25,2206.6299
2018-05-24,2209.3899
2018-05-23,2220.0171
2018-05-22,2217.7451
2018-05-21,2239.3989
2018-05-18,2250.8269
2018-05-17,2265.2009
2018-05-16,2277.6951
2018-05-15,2294.2610
2018-05-14,2300.9529
2018-05-11,2303.0630
2018-05-10,2302.6851
2018-05-09,2305.5220
2018-05-08,2309.0471
2018-05-07,2313.0801
2018-05-04,2327.3850
2018-05-03,2327.2959
2018-05-02,2326.4280
2018-04-30,2337.2539
2018-04-27,2325.7939
2018-04-26,2319.6111
2018-04-25,2315.8811
2018-04-24,2326.7429
2018-04-23,2330.9951
2018-04-20,2334.1169
2018-04-19,2340.6299
2018-04-18,2340.9961
2018-04-17,2344.6179
2018-04-16,2343.2849
2018-04-13,2348.6721
2018-04-12,2346.0801
2018-04-11,2347.5349
2018-04-10,2346.6370
2018-04-09,2352.3359
2018-04-06,2362.1770
2018-04-05,2351.5750
2018-04-04,2359.6709
2018-04-03,2359.1279
2018-04-02,2353.9629
2018-03-29,2357.5420
2018-03-28,2353.5190
2018-03-27,2349.6121
2018-03-26,2345.6460
2018-03-23,2338.5701
2018-03-22,2333.5281
2018-03-21,2328.0081
2018-03-20,2329.4709
2018-03-19,2324.4109
2018-03-16,2322.1101
2018-03-15,2322.0391
2018-03-14,2317.8611
2018-03-13,2316.9509
2018-03-12,2312.8501
2018-03-09,2307.5481
2018-03-08,2301.4419
2018-03-07,2296.4709
2018-03-06,2294.7920
2018-03-05,2295.3979
2018-03-02,2297.1021
2018-03-01,2303.7451
2018-02-28,2311.4099
2018-02-27,2296.5161
2018-02-26,2297.9910
2018-02-23,2294.8770
2018-02-22,2287.5491
2018-02-21,2284.8540
2018-02-20,2282.6531
2018-02-19,2279.8279
2018-02-16,2277.5930
2018-02-15,2269.9209
2018-02-14,2268.4290
2018-02-09,2268.5720
2018-02-08,2267.2800
2018-02-07,2267.0940
2018-02-06,2267.6150
2018-02-05,2267.3621
2018-02-02,2272.8030
2018-02-01,2275.9919
2018-01-31,2285.2329
2018-01-30,2278.1421
2018-01-29,2275.4199
2018-01-26,2279.1360
2018-01-24,2265.3789
2018-01-23,2259.9990
2018-01-22,2263.3469
